Birth City,Number of Players,Mean Player Salary,Median Player Salary,Player Salary Variance,Player Salary Std. Dev.,Player Salary Std. Error
Veracruz,1,"$454,534","$447,568","$4,518,500,056","$67,220","$33,610"
Palos Hills,1,"$504,833","$505,500","$210,583,333","$14,511","$8,378"
Warner Robins,1,"$820,625","$900,000","$247,083,410,714","$497,075","$175,743"
Palm Springs,1,"$289,167","$270,000","$4,027,083,333","$63,459","$36,638"
Palm Beach Gardens,1,"$980,000","$432,500","$1,247,283,333,333","$1,116,818","$558,409"
San Carlos,1,"$499,750","$496,000","$26,837,583,333","$163,822","$81,911"
Walsh,1,"$382,000","$382,000",$nan,$nan,$nan
San Felix,1,"$2,625,000","$2,625,000","$1,531,250,000,000","$1,237,437","$875,000"
Warrenton,1,"$225,000","$225,000",$nan,$nan,$nan
Washington Court House,1,"$5,883,333","$5,883,333","$500,000,000,000","$707,107","$500,000"
Woodbury,1,"$407,500","$407,500","$112,500,000","$10,607","$7,500"
Northbrook,1,"$1,831,208","$1,338,033","$3,044,721,641,352","$1,744,913","$872,457"
Sanchez,1,"$348,833","$335,500","$1,693,583,333","$41,153","$23,760"
Woodland Hills,1,"$502,250","$502,250",$nan,$nan,$nan
Woodstock,1,"$200,000","$200,000",$nan,$nan,$nan
North Star,1,"$1,077,400","$875,000","$577,906,300,000","$760,201","$339,972"
Woodsville,1,"$420,000","$420,000",$nan,$nan,$nan
Woonsocket,1,"$927,000","$500,000","$698,043,000,000","$835,490","$315,785"
North Olmsted,1,"$420,800","$420,800",$nan,$nan,$nan
North Miami,1,"$338,900","$316,000","$4,000,550,000","$63,250","$28,286"
North Little Rock,1,"$9,004,469","$10,850,000","$49,372,956,848,958","$7,026,589","$1,756,647"
North Hollywood,1,"$1,561,666","$1,561,666","$286,272,474,444","$535,044","$378,333"
Wright Patterson AFB,1,"$3,405,357","$3,925,000","$3,672,440,476,190","$1,916,361","$724,316"
North Conway,1,"$513,833","$513,000","$281,083,333","$16,766","$9,680"
North Adams,1,"$384,000","$384,000",$nan,$nan,$nan
Norristown,1,"$11,709,822","$12,821,429","$25,366,050,325,437","$5,036,472","$1,780,662"
Wyandotte,1,"$509,000","$509,000","$144,500,000","$12,021","$8,500"
Wymore,1,"$525,500","$525,500","$200,000,000","$14,142","$10,000"
Noord,1,"$2,862,500","$2,375,000","$6,764,821,428,571","$2,600,927","$919,567"
Nogales,1,"$2,700,000","$2,700,000","$720,000,000,000","$848,528","$600,000"
San Juan de los Morros,1,"$940,375","$637,000","$410,709,767,857","$640,866","$226,580"
San Rafael del Yuma,1,"$395,000","$395,000",$nan,$nan,$nan
Yoakum,1,"$389,375","$402,500","$4,193,229,167","$64,755","$32,378"
Yokohama,1,"$1,388,000","$1,275,000","$294,907,500,000","$543,054","$242,861"
San Luis Potosi,1,"$3,166,667","$3,375,000","$1,161,458,333,333","$1,077,710","$622,216"
Yucaipa,1,"$372,000","$360,500","$4,164,666,667","$64,534","$32,267"
Nichi Kasugai-gun,1,"$10,808,766","$12,500,000","$35,935,116,205,526","$5,994,591","$1,547,797"
Neyagawa,1,"$5,035,714","$5,000,000","$3,592,261,904,762","$1,895,326","$716,366"
Newton,1,"$2,088,111","$1,034,000","$3,361,156,548,611","$1,833,346","$611,115"
Wolf Point,1,"$417,000","$417,000",$nan,$nan,$nan
Winfield,1,"$496,750","$496,750","$325,125,000","$18,031","$12,750"
Windermere,1,"$1,166,667","$515,000","$1,333,558,333,333","$1,154,798","$666,723"
Olney,1,"$939,167","$1,000,000","$176,039,583,333","$419,571","$242,239"
Orange Park,1,"$4,557,000","$5,083,000","$14,230,415,142,857","$3,772,322","$1,333,717"
Orange County,1,"$5,817,292","$6,000,000","$18,225,656,202,652","$4,269,152","$1,232,398"
Waukegan,1,"$631,562","$725,000","$57,880,245,536","$240,583","$85,059"
Waverly,1,"$260,000","$260,000",$0,$0,$0
Weatherford,1,"$2,410,500","$1,800,000","$3,919,158,055,556","$1,979,686","$626,032"
Santa Lucia,1,"$417,000","$417,000",$nan,$nan,$nan
Turners Falls,1,"$2,850,000","$2,850,000","$3,645,000,000,000","$1,909,188","$1,350,000"
Wellington,1,"$285,333","$303,000","$3,656,333,333","$60,468","$34,911"
Santa Fe,1,"$520,000","$520,000",$nan,$nan,$nan
Oneonta,1,"$218,325","$218,325","$272,611,250","$16,511","$11,675"
Westerville,1,"$515,500","$515,500","$500,000",$707,$500
Westlake Village,1,"$3,422,250","$4,000,000","$6,850,409,840,909","$2,617,329","$755,558"
Westwood,1,"$513,000","$513,000",$nan,$nan,$nan
Wheaton,1,"$510,000","$510,000",$nan,$nan,$nan
Winchester,1,"$548,333","$685,000","$62,408,333,333","$249,817","$144,232"
San Isidro,1,"$1,044,333","$530,000","$836,006,333,333","$914,334","$527,891"
San Joaquin,1,"$203,000","$203,000",$nan,$nan,$nan
Okinawa,1,"$311,250","$311,250","$253,125,000","$15,910","$11,250"
Sanremo,1,"$481,300","$481,300",$nan,$nan,$nan
Odessa,1,"$406,250","$406,250","$78,125,000","$8,839","$6,250"
Wilkes-Barre,1,"$523,333","$377,500","$95,052,083,333","$308,305","$178,000"
Oconomowoc,1,"$200,000","$200,000",$nan,$nan,$nan
Oaxaca,1,"$4,257,143","$3,200,000","$3,735,357,142,857","$1,932,707","$730,495"
Oaklawn,1,"$832,500","$832,500","$644,112,500,000","$802,566","$567,500"
Williamsport,1,"$12,880,832","$11,071,029","$17,616,223,094,929","$4,197,168","$1,399,056"
Wilrijk,1,"$245,000","$245,000",$nan,$nan,$nan
Sandusky,1,"$448,750","$448,750","$2,278,125,000","$47,730","$33,750"
Wilson,1,"$365,833","$380,000","$1,127,083,333","$33,572","$19,383"
Tuxedo,1,"$3,000,000","$3,000,000",$nan,$nan,$nan
Perkins,1,"$500,625","$500,625",$nan,$nan,$nan
Sasebo,1,"$6,354,166","$6,158,333","$916,180,263,889","$957,173","$478,587"
St. John,1,"$1,404,167","$1,100,000","$765,549,242,424","$874,957","$252,578"
Quincy,1,"$350,500","$345,000","$1,373,250,000","$37,057","$21,395"
Raceland,1,"$511,367","$512,400","$278,023,333","$16,674","$9,627"
Stamford,1,"$686,833","$504,500","$113,143,083,333","$336,367","$194,202"
